run_id,path_id,fee_param,xsol_param,depeg_event,run_duration,sol_pool_activations,xsol_pool_activations,total_pool_activations
37.2,1,1.5,1.1,True,377,0,1,1
37.2,1,1.5,1.1,True,487,0,6,6
37.2,1,1.5,1.1,True,377,0,1,1
37.2,1,1.5,1.1,True,487,0,6,6
45.16,1,1.5,1.5,False,1411,0,51,51
11.14,1,1.3,1.1,True,486,0,4,4
44.9,1,1.5,1.45,False,1411,0,43,43
33.6,1,1.45,1.3,False,1411,0,36,36
38.6,1,1.5,1.15,True,377,0,3,3
20.15,1,1.35,1.3,False,1411,0,42,42
42.2,1,1.5,1.35,False,1411,0,54,54
42.2,1,1.5,1.35,False,1411,0,39,39
42.2,1,1.5,1.35,False,1411,0,54,54
42.2,1,1.5,1.35,False,1411,0,39,39
37.9,1,1.5,1.1,True,484,0,3,3
32.5,1,1.45,1.25,True,668,0,21,21
15.1,1,1.3,1.3,False,1411,0,38,38
15.1,1,1.3,1.3,False,1411,0,47,47
15.1,1,1.3,1.3,False,1411,0,38,38
15.1,1,1.3,1.3,False,1411,0,47,47
23.19,1,1.4,1.15,True,377,0,2,2
22.18,1,1.4,1.1,True,376,0,2,2
37.17,1,1.5,1.1,True,484,0,4,4
39.19,1,1.5,1.2,True,486,0,4,4
9.13,1,1.25,1.2,True,668,0,9,9
31.3,1,1.45,1.2,True,484,0,13,13
6.17,1,1.2,1.2,True,486,0,10,10
18.13,1,1.35,1.2,True,486,0,7,7
30.18,1,1.45,1.15,True,484,0,9,9
2.4,1,1.15,1.1,True,486,0,9,9
4.5,1,1.2,1.1,True,484,0,12,12
25.17,1,1.4,1.25,False,1411,0,30,30
12.8,1,1.3,1.15,True,486,0,2,2
15.13,1,1.3,1.3,False,1411,0,27,27
8.9,1,1.25,1.15,True,377,0,2,2
25.9,1,1.4,1.25,True,668,0,30,30
32.6,1,1.45,1.25,False,1411,0,24,24
27.17,1,1.4,1.35,False,1411,0,52,52
35.16,1,1.45,1.4,False,1411,0,47,47
50.8,1,1.55,1.3,False,1411,0,29,29
25.1,1,1.4,1.25,True,668,0,17,17
25.1,1,1.4,1.25,True,668,0,25,25
25.1,1,1.4,1.25,True,668,0,17,17
25.1,1,1.4,1.25,True,668,0,25,25
11.1,1,1.3,1.1,True,377,0,1,1
11.1,1,1.3,1.1,True,377,0,1,1
11.1,1,1.3,1.1,True,377,0,1,1
11.1,1,1.3,1.1,True,377,0,1,1
2.3,1,1.15,1.1,True,484,0,10,10
30.19,1,1.45,1.15,True,486,0,2,2
27.1,1,1.4,1.35,False,1411,0,48,48
27.1,1,1.4,1.35,False,1411,0,51,51
27.1,1,1.4,1.35,False,1411,0,48,48
27.1,1,1.4,1.35,False,1411,0,51,51
35.11,1,1.45,1.4,False,1411,0,41,41
29.18,1,1.45,1.1,True,518,0,7,7
32.7,1,1.45,1.25,True,668,0,23,23
48.19,1,1.55,1.2,True,668,0,18,18
8.8,1,1.25,1.15,False,1411,0,18,18
16.6,1,1.35,1.1,True,376,0,4,4
53.9,1,1.55,1.45,False,1411,0,36,36
43.1,1,1.5,1.4,False,1411,0,44,44
43.1,1,1.5,1.4,False,1411,0,67,67
43.1,1,1.5,1.4,False,1411,0,44,44
43.1,1,1.5,1.4,False,1411,0,67,67
55.18,1,1.55,1.55,False,1411,0,49,49
41.11,1,1.5,1.3,False,1411,0,41,41
2.19,1,1.15,1.1,True,484,0,3,3
8.1,1,1.25,1.15,True,484,0,10,10
8.1,1,1.25,1.15,True,486,0,10,10
8.1,1,1.25,1.15,True,484,0,10,10
8.1,1,1.25,1.15,True,486,0,10,10
4.1,1,1.2,1.1,True,376,0,1,1
4.1,1,1.2,1.1,True,484,0,9,9
4.1,1,1.2,1.1,True,376,0,1,1
4.1,1,1.2,1.1,True,484,0,9,9
26.2,1,1.4,1.3,False,1411,0,33,33
26.2,1,1.4,1.3,False,1411,0,42,42
26.2,1,1.4,1.3,False,1411,0,33,33
26.2,1,1.4,1.3,False,1411,0,42,42
4.9,1,1.2,1.1,True,377,0,2,2
6.6,1,1.2,1.2,True,486,0,12,12
26.13,1,1.4,1.3,False,1411,0,41,41
13.13,1,1.3,1.2,True,484,0,8,8
36.3,1,1.45,1.45,False,1411,0,61,61
12.14,1,1.3,1.15,True,486,0,9,9
21.9,1,1.35,1.35,False,1411,0,57,57
3.15,1,1.15,1.15,True,486,0,7,7
28.11,1,1.4,1.4,False,1411,0,33,33
8.11,1,1.25,1.15,True,484,0,9,9
55.19,1,1.55,1.55,False,1411,0,62,62
35.7,1,1.45,1.4,False,1411,0,56,56
46.18,1,1.55,1.1,True,377,0,1,1
16.1,1,1.35,1.1,True,486,0,2,2
16.1,1,1.35,1.1,True,376,0,4,4
16.1,1,1.35,1.1,True,486,0,2,2
16.1,1,1.35,1.1,True,376,0,4,4
18.9,1,1.35,1.2,True,668,0,29,29
53.8,1,1.55,1.45,False,1411,0,35,35
13.2,1,1.3,1.2,True,668,0,15,15
13.2,1,1.3,1.2,True,484,0,6,6
13.2,1,1.3,1.2,True,668,0,15,15
13.2,1,1.3,1.2,True,484,0,6,6
49.1,1,1.55,1.25,True,668,0,20,20
49.1,1,1.55,1.25,True,668,0,20,20
49.1,1,1.55,1.25,True,668,0,20,20
49.1,1,1.55,1.25,True,668,0,20,20
24.2,1,1.4,1.2,True,486,0,2,2
24.2,1,1.4,1.2,True,484,0,3,3
24.2,1,1.4,1.2,True,486,0,2,2
24.2,1,1.4,1.2,True,484,0,3,3
40.7,1,1.5,1.25,True,668,0,24,24
21.8,1,1.35,1.35,False,1411,0,38,38
12.13,1,1.3,1.15,True,484,0,2,2
3.14,1,1.15,1.15,True,484,0,10,10
41.2,1,1.5,1.3,False,1411,0,27,27
41.2,1,1.5,1.3,False,1411,0,24,24
41.2,1,1.5,1.3,False,1411,0,27,27
41.2,1,1.5,1.3,False,1411,0,24,24
36.2,1,1.45,1.45,False,1411,0,67,67
36.2,1,1.45,1.45,False,1411,0,45,45
36.2,1,1.45,1.45,False,1411,0,67,67
36.2,1,1.45,1.45,False,1411,0,45,45
36.1,1,1.45,1.45,False,1411,0,62,62
36.1,1,1.45,1.45,False,1411,0,33,33
36.1,1,1.45,1.45,False,1411,0,62,62
36.1,1,1.45,1.45,False,1411,0,33,33
20.6,1,1.35,1.3,False,1411,0,51,51
43.16,1,1.5,1.4,False,1411,0,31,31
3.17,1,1.15,1.15,True,484,0,5,5
7.15,1,1.25,1.1,True,484,0,1,1
16.15,1,1.35,1.1,True,487,0,2,2
46.8,1,1.55,1.1,True,487,0,9,9
24.17,1,1.4,1.2,True,668,0,14,14
7.2,1,1.25,1.1,True,377,0,2,2
7.2,1,1.25,1.1,True,377,0,1,1
7.2,1,1.25,1.1,True,377,0,2,2
7.2,1,1.25,1.1,True,377,0,1,1
8.12,1,1.25,1.15,True,484,0,9,9
3.2,1,1.15,1.15,True,377,0,2,2
3.2,1,1.15,1.15,True,377,0,2,2
3.2,1,1.15,1.15,True,377,0,2,2
3.2,1,1.15,1.15,True,377,0,2,2
49.2,1,1.55,1.25,True,668,0,14,14
49.2,1,1.55,1.25,True,668,0,12,12
49.2,1,1.55,1.25,True,668,0,14,14
49.2,1,1.55,1.25,True,668,0,12,12
1.14,1,1.1,1.1,True,376,0,4,4
54.11,1,1.55,1.5,False,1411,0,53,53
16.12,1,1.35,1.1,True,377,0,2,2
48.7,1,1.55,1.2,True,486,0,4,4
37.5,1,1.5,1.1,True,486,0,2,2
38.19,1,1.5,1.15,True,484,0,8,8
