run_id,path_id,fee_param,xsol_param,depeg_event,run_duration,sol_pool_activations,xsol_pool_activations,total_pool_activations
76.4,4,1.5,1.3,False,1000,0,6,6
91.2,5,1.4,1.1,False,1000,0,2,2
40.5,2,1.6,1.4,False,1000,0,24,24
103.4,5,1.6,1.4,False,1000,0,6,6
56.2,3,1.5,1.4,False,1000,0,13,13
99.3,5,1.5,1.5,False,1000,0,31,31
53.1,3,1.5,1.1,False,1000,0,4,4
105.4,5,1.6,1.6,False,1000,0,22,22
15.2,1,1.5,1.5,False,1000,0,72,72
85.2,5,1.1,1.1,True,835,0,10,10
37.1,2,1.6,1.1,True,976,0,9,9
55.1,3,1.5,1.3,False,1000,0,5,5
7.5,1,1.4,1.1,True,521,0,7,7
25.4,2,1.3,1.1,True,142,0,2,2
58.2,3,1.6,1.1,False,1000,0,2,2
2.3,1,1.2,1.1,True,521,0,7,7
72.2,4,1.4,1.3,False,1000,0,4,4
38.5,2,1.6,1.2,False,1000,0,19,19
95.4,5,1.5,1.1,False,1000,0,0,0
8.1,1,1.4,1.2,False,1000,0,48,48
71.2,4,1.4,1.2,False,1000,0,0,0
28.5,2,1.4,1.1,True,976,0,18,18
89.2,5,1.3,1.2,False,1000,0,9,9
52.4,3,1.4,1.4,False,1000,0,15,15
100.2,5,1.6,1.1,False,1000,0,0,0
13.4,1,1.5,1.3,False,1000,0,51,51
47.3,3,1.3,1.2,False,1000,0,9,9
39.5,2,1.6,1.3,False,1000,0,23,23
1.4,1,1.1,1.1,True,472,0,15,15
9.1,1,1.4,1.3,False,1000,0,61,61
74.1,4,1.5,1.1,False,1000,0,0,0
73.1,4,1.4,1.4,False,1000,0,11,11
32.3,2,1.5,1.1,False,1000,0,7,7
16.3,1,1.6,1.1,True,521,0,6,6
12.4,1,1.5,1.2,False,1000,0,42,42
48.2,3,1.3,1.3,False,1000,0,8,8
10.4,1,1.4,1.4,False,1000,0,81,81
104.1,5,1.6,1.5,False,1000,0,15,15
66.5,4,1.2,1.2,False,1000,0,2,2
34.3,2,1.5,1.3,False,1000,0,27,27
78.3,4,1.5,1.5,False,1000,0,18,18
65.5,4,1.2,1.1,False,1000,0,0,0
102.2,5,1.6,1.3,False,1000,0,9,9
54.4,3,1.5,1.2,False,1000,0,10,10
101.2,5,1.6,1.2,False,1000,0,13,13
11.4,1,1.5,1.1,True,521,0,12,12
64.2,4,1.1,1.1,False,1000,0,6,6
27.4,2,1.3,1.3,False,1000,0,26,26
