"Date","Price","Open","High","Low","Vol.","Change %"
"04/08/2021","26.675","24.99","26.675","26.675","714.31M","6.74%"
"04/09/2021","27.005","26.675","27.005","27.005","445.72M","1.24%"
"04/10/2021","27.785","27.005","27.785","27.785","351.75M","2.89%"
"04/11/2021","26.834","27.785","26.834","26.834","340.11M","-3.42%"
"04/12/2021","27.818","26.834","27.818","27.818","293.81M","3.67%"
"04/13/2021","28.524","27.818","28.524","28.524","388.17M","2.54%"
"04/14/2021","27.57","28.524","27.57","27.57","327.66M","-3.35%"
"04/15/2021","26.452","27.57","26.452","26.452","425.3M","-4.06%"
"04/16/2021","27.829","26.452","27.829","27.829","267.94M","5.21%"
"04/17/2021","25.28","27.829","25.28","25.28","294.3M","-9.16%"
"04/18/2021","25.011","25.28","25.011","25.011","259.79M","-1.07%"
"04/19/2021","32.43","25.011","32.43","32.43","1456.34M","29.66%"
"04/20/2021","31.725","32.43","31.725","31.725","1138.69M","-2.17%"
"04/21/2021","31.688","31.725","31.688","31.688","982.11M","-0.12%"
"04/22/2021","32.314","31.688","32.314","32.314","916.54M","1.97%"
"04/23/2021","39.042","32.314","39.042","39.042","1619.3M","20.82%"
"04/24/2021","37.067","39.042","37.067","37.067","2170.85M","-5.06%"
"04/25/2021","40.745","37.067","40.745","40.745","1508.72M","9.92%"
"04/26/2021","47.662","40.745","47.662","47.662","2115.95M","16.98%"
"04/27/2021","44.496","47.662","44.496","44.496","1808.65M","-6.64%"
"04/28/2021","43.218","44.496","43.218","43.218","889.45M","-2.87%"
"04/29/2021","45.04","43.218","45.04","45.04","1328.46M","4.22%"
"04/30/2021","42.582","45.04","42.582","42.582","1007.55M","-5.46%"
"05/01/2021","42.995","42.582","42.995","42.995","715.48M","0.97%"
"05/02/2021","49.663","42.995","49.663","49.663","1107.8M","15.51%"
"05/03/2021","46.935","49.663","46.935","46.935","736.25M","-5.49%"
"05/04/2021","46.088","46.935","46.088","46.088","754.32M","-1.8%"
"05/05/2021","42.702","46.088","42.702","42.702","850.97M","-7.35%"
"05/06/2021","44.893","42.702","44.893","44.893","632.99M","5.13%"
"05/07/2021","43.438","44.893","43.438","43.438","496.64M","-3.24%"
"05/08/2021","43.072","43.438","43.072","43.072","628.08M","-0.84%"
"05/09/2021","45.686","43.072","45.686","45.686","565.02M","6.07%"
"05/10/2021","44.359","45.686","44.359","44.359","631.36M","-2.9%"
"05/11/2021","42.96","44.359","42.96","42.96","610.75M","-3.15%"
"05/12/2021","44.724","42.96","44.724","44.724","587.95M","4.11%"
"05/13/2021","43.622","44.724","43.622","43.622","1387.8M","-2.47%"
"05/14/2021","41.11","43.622","41.11","41.11","1273.76M","-5.76%"
"05/15/2021","42.872","41.11","42.872","42.872","536.55M","4.29%"
"05/16/2021","43.462","42.872","43.462","43.462","617.41M","1.38%"
"05/17/2021","47.177","43.462","47.177","47.177","2249.7M","8.55%"
"05/18/2021","46.862","47.177","46.862","46.862","2104.91M","-0.67%"
"05/19/2021","56.202","46.862","56.202","56.202","2063.4M","19.93%"
"05/20/2021","35.759","56.202","35.759","35.759","2921.07M","-36.37%"
"05/21/2021","44.526","35.759","44.526","44.526","2519.34M","24.52%"
"05/22/2021","38.432","44.526","38.432","38.432","1807.47M","-13.69%"
"05/23/2021","31.615","38.432","31.615","31.615","1134.74M","-17.74%"
"05/24/2021","24.768","31.615","24.768","24.768","1988.07M","-21.66%"
"05/25/2021","30.985","24.768","30.985","30.985","1351.44M","25.1%"
"05/26/2021","30.006","30.985","30.006","30.006","934.61M","-3.16%"
"05/27/2021","35.65","30.006","35.65","35.65","1118.63M","18.81%"
"05/28/2021","33.659","35.65","33.659","33.659","662.07M","-5.58%"
"05/29/2021","29.022","33.659","29.022","29.022","624.11M","-13.78%"
"05/30/2021","27.557","29.022","27.557","27.557","402.04M","-5.05%"
"05/31/2021","28.562","27.557","28.562","28.562","385.51M","3.65%"
"06/01/2021","32.662","28.562","32.662","32.662","556.48M","14.35%"
"06/02/2021","30.985","32.662","30.985","30.985","451.12M","-5.13%"
"06/03/2021","34.188","30.985","34.188","34.188","526.54M","10.34%"
"06/04/2021","39.707","34.188","39.707","39.707","1003.18M","16.14%"
"06/05/2021","37.599","39.707","37.599","37.599","1090.39M","-5.31%"
"06/06/2021","39.34","37.599","39.34","39.34","1151.59M","4.63%"
"06/07/2021","42.26","39.34","42.26","42.26","825.02M","7.42%"
"06/08/2021","38.195","42.26","38.195","38.195","942.58M","-9.62%"
"06/09/2021","41.417","38.195","41.417","41.417","1825.25M","8.44%"
"06/10/2021","42.078","41.417","42.078","42.078","1272.17M","1.59%"
"06/11/2021","41.206","42.078","41.206","41.206","624.24M","-2.07%"
"06/12/2021","36.09","41.206","36.09","36.09","558.8M","-12.41%"
"06/13/2021","36.568","36.09","36.568","36.568","584.58M","1.32%"
"06/14/2021","38.82","36.568","38.82","38.82","488.54M","6.16%"
"06/15/2021","39.644","38.82","39.644","39.644","564.06M","2.12%"
"06/16/2021","39.699","39.644","39.699","39.699","508.65M","0.14%"
"06/17/2021","39.548","39.699","39.548","39.548","636.54M","-0.38%"
"06/18/2021","39.327","39.548","39.327","39.327","472.93M","-0.56%"
"06/19/2021","36.624","39.327","36.624","36.624","481.56M","-6.87%"
"06/20/2021","35.26","36.624","35.26","35.26","302.28M","-3.72%"
"06/21/2021","35.284","35.26","35.284","35.284","507.51M","0.07%"
"06/22/2021","26.595","35.284","26.595","26.595","836.9M","-24.63%"
"06/23/2021","26.729","26.595","26.729","26.729","1371.34M","0.5%"
"06/24/2021","30.879","26.729","30.879","30.879","1203.44M","15.53%"
"06/25/2021","31.441","30.879","31.441","31.441","732.65M","1.82%"
"06/26/2021","29.237","31.441","29.237","29.237","737.66M","-7.01%"
"06/27/2021","29.375","29.237","29.375","29.375","639.62M","0.47%"
"06/28/2021","31.675","29.375","31.675","31.675","572.1M","7.83%"
"06/29/2021","33.114","31.675","33.114","33.114","674.52M","4.54%"
"06/30/2021","33.923","33.114","33.923","33.923","645.57M","2.44%"
"07/01/2021","35.834","33.923","35.834","35.834","791.09M","5.63%"
"07/02/2021","33.556","35.834","33.556","33.556","663.49M","-6.36%"
"07/03/2021","33.959","33.556","33.959","33.959","607.35M","1.2%"
"07/04/2021","34.466","33.959","34.466","34.466","462.04M","1.49%"
"07/05/2021","34.449","34.466","34.449","34.449","424.94M","-0.05%"
"07/06/2021","33.12","34.449","33.12","33.12","436.66M","-3.86%"
"07/07/2021","34.291","33.12","34.291","34.291","499.8M","3.54%"
"07/08/2021","36.657","34.291","36.657","36.657","727.58M","6.9%"
"07/09/2021","33.514","36.657","33.514","33.514","691.93M","-8.57%"
"07/10/2021","33.532","33.514","33.532","33.532","454.19M","0.05%"
"07/11/2021","31.939","33.532","31.939","31.939","415.85M","-4.75%"
"07/12/2021","32.123","31.939","32.123","32.123","296.17M","0.58%"
"07/13/2021","30.953","32.123","30.953","30.953","312.33M","-3.64%"
"07/14/2021","29.162","30.953","29.162","29.162","270.39M","-5.79%"
"07/15/2021","31.236","29.162","31.236","31.236","474.45M","7.11%"
"07/16/2021","28.324","31.236","28.324","28.324","469.05M","-9.32%"
"07/17/2021","26.263","28.324","26.263","26.263","372.12M","-7.27%"
"07/18/2021","26.792","26.263","26.792","26.792","292.65M","2.01%"
"07/19/2021","26.894","26.792","26.894","26.894","227.07M","0.38%"
"07/20/2021","24.816","26.894","24.816","24.816","370.35M","-7.73%"
"07/21/2021","23.858","24.816","23.858","23.858","422.16M","-3.86%"
"07/22/2021","26.672","23.858","26.672","26.672","573.15M","11.79%"
"07/23/2021","27.763","26.672","27.763","27.763","375.8M","4.09%"
"07/24/2021","28.376","27.763","28.376","28.376","407.43M","2.21%"
"07/25/2021","28.59","28.376","28.59","28.59","363.38M","0.76%"
"07/26/2021","28.319","28.59","28.319","28.319","316.5M","-0.95%"
"07/27/2021","28.097","28.319","28.097","28.097","755.25M","-0.78%"
"07/28/2021","27.951","28.097","27.951","27.951","375.19M","-0.52%"
"07/29/2021","27.872","27.951","27.872","27.872","324.32M","-0.28%"
"07/30/2021","31.417","27.872","31.417","31.417","490.24M","12.72%"
"07/31/2021","32.253","31.417","32.253","32.253","673.48M","2.66%"
"08/01/2021","36.249","32.253","36.249","36.249","614.04M","12.39%"
"08/02/2021","34.173","36.249","34.173","34.173","548.58M","-5.73%"
"08/03/2021","33.275","34.173","33.275","33.275","463.81M","-2.63%"
"08/04/2021","34.34","33.275","34.34","34.34","535.39M","3.2%"
"08/05/2021","35.905","34.34","35.905","35.905","453.65M","4.56%"
"08/06/2021","37.48","35.905","37.48","37.48","642.28M","4.38%"
"08/07/2021","39.54","37.48","39.54","39.54","634.97M","5.5%"
"08/08/2021","39.383","39.54","39.383","39.383","567.72M","-0.4%"
"08/09/2021","37.666","39.383","37.666","37.666","387.95M","-4.36%"
"08/10/2021","38.763","37.666","38.763","38.763","392.76M","2.91%"
"08/11/2021","40.663","38.763","40.663","40.663","512.01M","4.9%"
"08/12/2021","41.799","40.663","41.799","41.799","518.47M","2.79%"
"08/13/2021","41.19","41.799","41.19","41.19","501.99M","-1.46%"
"08/14/2021","44.693","41.19","44.693","44.693","536.71M","8.5%"
"08/15/2021","44.063","44.693","44.063","44.063","375.78M","-1.41%"
"08/16/2021","53.678","44.063","53.678","53.678","1453.94M","21.82%"
"08/17/2021","62.277","53.678","62.277","62.277","3744.58M","16.02%"
"08/18/2021","64.303","62.277","64.303","64.303","4071.43M","3.25%"
"08/19/2021","74.005","64.303","74.005","74.005","4552.45M","15.09%"
"08/20/2021","73.049","74.005","73.049","73.049","2751.97M","-1.29%"
"08/21/2021","78.449","73.049","78.449","78.449","1816.39M","7.39%"
"08/22/2021","74.218","78.449","74.218","74.218","1502.85M","-5.39%"
"08/23/2021","73.126","74.218","73.126","73.126","1004.79M","-1.47%"
"08/24/2021","75.97","73.126","75.97","75.97","1376.62M","3.89%"
"08/25/2021","71.213","75.97","71.213","71.213","1645.44M","-6.26%"
"08/26/2021","71.511","71.213","71.511","71.511","1460.93M","0.42%"
"08/27/2021","76.114","71.511","76.114","76.114","2687.94M","6.44%"
"08/28/2021","87.968","76.114","87.968","87.968","3193.85M","15.57%"
"08/29/2021","97.067","87.968","97.067","97.067","2343.52M","10.34%"
"08/30/2021","94.01","97.067","94.01","94.01","1619.24M","-3.15%"
"08/31/2021","109.647","94.01","109.647","109.647","4827.16M","16.63%"
"09/01/2021","108.706","109.647","108.706","108.706","7097.44M","-0.86%"
"09/02/2021","110.818","108.706","110.818","110.818","3649.71M","1.94%"
"09/03/2021","128.674","110.818","128.674","128.674","4623.25M","16.11%"
"09/04/2021","146.358","128.674","146.358","146.358","6871.22M","13.74%"
"09/05/2021","139.594","146.358","139.594","139.594","3607.65M","-4.62%"
"09/06/2021","142.136","139.594","142.136","142.136","2711.25M","1.82%"
"09/07/2021","164.561","142.136","164.561","164.561","5245.86M","15.78%"
"09/08/2021","173.311","164.561","173.311","173.311","16149.09M","5.32%"
"09/09/2021","189.344","173.311","189.344","189.344","12034.76M","9.25%"
"09/10/2021","188.276","189.344","188.276","188.276","12182.43M","-0.56%"
"09/11/2021","178.32","188.276","178.32","178.32","6992.11M","-5.29%"
"09/12/2021","177.942","178.32","177.942","177.942","5327.21M","-0.21%"
"09/13/2021","174.881","177.942","174.881","174.881","3006.79M","-1.72%"
"09/14/2021","169.277","174.881","169.277","169.277","6270.54M","-3.2%"
"09/15/2021","157.378","169.277","157.378","157.378","5484.25M","-7.03%"
"09/16/2021","158.596","157.378","158.596","158.596","3973.59M","0.77%"
"09/17/2021","151.948","158.596","151.948","151.948","3163.02M","-4.19%"
"09/18/2021","147.584","151.948","147.584","147.584","4637.33M","-2.87%"
"09/19/2021","170.11","147.584","170.11","170.11","5288.9M","15.26%"
"09/20/2021","153.326","170.11","153.326","153.326","3442.77M","-9.87%"
"09/21/2021","133.369","153.326","133.369","133.369","5652.87M","-13.02%"
"09/22/2021","122.692","133.369","122.692","122.692","5306.96M","-8.01%"
"09/23/2021","148.329","122.692","148.329","148.329","4912.18M","20.9%"
"09/24/2021","150.39","148.329","150.39","150.39","3353.53M","1.39%"
"09/25/2021","139.314","150.39","139.314","139.314","3863.69M","-7.36%"
"09/26/2021","136.835","139.314","136.835","136.835","2059.64M","-1.78%"
"09/27/2021","135.796","136.835","135.796","135.796","2683.41M","-0.76%"
"09/28/2021","136.26","135.796","136.26","136.26","2989.64M","0.34%"
"09/29/2021","130.605","136.26","130.605","130.605","2409.48M","-4.15%"
"09/30/2021","135.279","130.605","135.279","135.279","2423.22M","3.58%"
"10/01/2021","141.184","135.279","141.184","141.184","2213.93M","4.36%"
"10/02/2021","161.374","141.184","161.374","161.374","4217.1M","14.3%"
"10/03/2021","169.209","161.374","169.209","169.209","3290.8M","4.86%"
"10/04/2021","172.856","169.209","172.856","172.856","2990.39M","2.16%"
"10/05/2021","167.878","172.856","167.878","167.878","3108.61M","-2.88%"
"10/06/2021","164.369","167.878","164.369","164.369","2550.03M","-2.09%"
"10/07/2021","154.095","164.369","154.095","154.095","3216.05M","-6.25%"
"10/08/2021","154.26","154.095","154.26","154.26","2469.49M","0.11%"
"10/09/2021","158.915","154.26","158.915","158.915","2714.91M","3.02%"
"10/10/2021","157.335","158.915","157.335","157.335","1421.85M","-0.99%"
"10/11/2021","147.696","157.335","147.696","147.696","1495.9M","-6.13%"
"10/12/2021","144.859","147.696","144.859","144.859","1718.48M","-1.92%"
"10/13/2021","152.001","144.859","152.001","152.001","2766.26M","4.93%"
"10/14/2021","148.392","152.001","148.392","148.392","1975.67M","-2.37%"
"10/15/2021","150.091","148.392","150.091","150.091","1912.98M","1.15%"
"10/16/2021","162.982","150.091","162.982","162.982","3892.26M","8.59%"
"10/17/2021","158.274","162.982","158.274","158.274","1481.56M","-2.89%"
"10/18/2021","159.863","158.274","159.863","159.863","2132.94M","1.0%"
"10/19/2021","157.375","159.863","157.375","157.375","1619.04M","-1.56%"
"10/20/2021","156.391","157.375","156.391","156.391","1345.98M","-0.63%"
"10/21/2021","175.602","156.391","175.602","175.602","3069.13M","12.28%"
"10/22/2021","189.059","175.602","189.059","189.059","6298.93M","7.66%"
"10/23/2021","197.834","189.059","197.834","197.834","6789.56M","4.64%"
"10/24/2021","198.307","197.834","198.307","198.307","2951.22M","0.24%"
"10/25/2021","203.165","198.307","203.165","203.165","3114.59M","2.45%"
"10/26/2021","211.191","203.165","211.191","211.191","4469.23M","3.95%"
"10/27/2021","199.75","211.191","199.75","199.75","3052.8M","-5.42%"
"10/28/2021","183.543","199.75","183.543","183.543","4812.69M","-8.11%"
"10/29/2021","195.086","183.543","195.086","195.086","3385.64M","6.29%"
"10/30/2021","199.785","195.086","199.785","199.785","2703.33M","2.41%"
"10/31/2021","193.338","199.785","193.338","193.338","1651.08M","-3.23%"
"11/01/2021","202.391","193.338","202.391","202.391","2508.96M","4.68%"
"11/02/2021","203.814","202.391","203.814","203.814","3098.39M","0.7%"
"11/03/2021","220.654","203.814","220.654","220.654","2953.1M","8.26%"
"11/04/2021","242.046","220.654","242.046","242.046","5949.1M","9.69%"
"11/05/2021","249.063","242.046","249.063","249.063","4457.17M","2.9%"
"11/06/2021","237.889","249.063","237.889","237.889","2814.46M","-4.49%"
"11/07/2021","259.24","237.889","259.24","259.24","3906.16M","8.97%"
"11/08/2021","250.365","259.24","250.365","250.365","2644.01M","-3.42%"
"11/09/2021","248.822","250.365","248.822","248.822","3223.92M","-0.62%"
"11/10/2021","239.42","248.822","239.42","239.42","2681.22M","-3.78%"
"11/11/2021","233.074","239.42","233.074","233.074","3800.89M","-2.65%"
"11/12/2021","234.864","233.074","234.864","234.864","2618.46M","0.77%"
"11/13/2021","229.399","234.864","229.399","229.399","2941.6M","-2.33%"
"11/14/2021","241.335","229.399","241.335","241.335","2171.33M","5.2%"
"11/15/2021","239.514","241.335","239.514","239.514","1611.36M","-0.75%"
"11/16/2021","238.765","239.514","238.765","238.765","2359.33M","-0.31%"
"11/17/2021","220.098","238.765","220.098","220.098","3508.78M","-7.82%"
"11/18/2021","219.106","220.098","219.106","219.106","2879.29M","-0.45%"
"11/19/2021","195.079","219.106","195.079","195.079","3731.84M","-10.97%"
"11/20/2021","215.835","195.079","215.835","215.835","3291.84M","10.64%"
"11/21/2021","218.329","215.835","218.329","218.329","1870.04M","1.16%"
"11/22/2021","232.441","218.329","232.441","232.441","2555.18M","6.46%"
"11/23/2021","216.399","232.441","216.399","216.399","3174.54M","-6.9%"
"11/24/2021","222.098","216.399","222.098","222.098","2144.05M","2.63%"
"11/25/2021","205.549","222.098","205.549","205.549","2339.65M","-7.45%"
"11/26/2021","209.792","205.549","209.792","209.792","2227.84M","2.06%"
"11/27/2021","192.147","209.792","192.147","192.147","3216.47M","-8.41%"
"11/28/2021","192.136","192.147","192.136","192.136","1351.63M","-0.01%"
"11/29/2021","200.461","192.136","200.461","200.461","1935.38M","4.33%"
"11/30/2021","204.35","200.461","204.35","204.35","2007.4M","1.94%"
"12/01/2021","208.706","204.35","208.706","208.706","2697.16M","2.13%"
"12/02/2021","229.449","208.706","229.449","229.449","3392.09M","9.94%"
"12/03/2021","232.572","229.449","232.572","232.572","3994.51M","1.36%"
"12/04/2021","212.134","232.572","212.134","212.134","3755.64M","-8.79%"
"12/05/2021","200.941","212.134","200.941","200.941","5616.79M","-5.28%"
"12/06/2021","196.569","200.941","196.569","196.569","3228.92M","-2.18%"
"12/07/2021","193.892","196.569","193.892","193.892","3396.2M","-1.36%"
"12/08/2021","190.373","193.892","190.373","190.373","2433.28M","-1.82%"
"12/09/2021","194.301","190.373","194.301","194.301","2194.88M","2.06%"
"12/10/2021","181.752","194.301","181.752","181.752","1858.81M","-6.46%"
"12/11/2021","169.461","181.752","169.461","169.461","1946.1M","-6.76%"
"12/12/2021","171.845","169.461","171.845","171.845","1791.15M","1.41%"
"12/13/2021","173.735","171.845","173.735","173.735","1094.4M","1.1%"
"12/14/2021","155.085","173.735","155.085","155.085","2372.39M","-10.73%"
"12/15/2021","161.06","155.085","161.06","161.06","2156.9M","3.85%"
"12/16/2021","178.262","161.06","178.262","178.262","3458.99M","10.68%"
"12/17/2021","176.806","178.262","176.806","176.806","2454.64M","-0.82%"
"12/18/2021","175.791","176.806","175.791","175.791","2355.53M","-0.57%"
"12/19/2021","182.971","175.791","182.971","182.971","1440.76M","4.08%"
"12/20/2021","179.938","182.971","179.938","179.938","1441.25M","-1.66%"
"12/21/2021","174.371","179.938","174.371","174.371","1718.45M","-3.09%"
"12/22/2021","180.126","174.371","180.126","180.126","1539.49M","3.3%"
"12/23/2021","178.574","180.126","178.574","178.574","1635.08M","-0.86%"
"12/24/2021","190.512","178.574","190.512","190.512","1932.69M","6.69%"
"12/25/2021","190.44","190.512","190.44","190.44","1997.42M","-0.04%"
"12/26/2021","193.289","190.44","193.289","193.289","1257.99M","1.5%"
"12/27/2021","198.197","193.289","198.197","198.197","1747.48M","2.54%"
"12/28/2021","196.039","198.197","196.039","196.039","1631.73M","-1.09%"
"12/29/2021","178.298","196.039","178.298","178.298","2541.8M","-9.05%"
"12/30/2021","171.272","178.298","171.272","171.272","1935.54M","-3.94%"
"12/31/2021","172.509","171.272","172.509","172.509","1379.26M","0.72%"
"01/01/2022","170.197","172.509","170.197","170.197","1380.63M","-1.34%"
"01/02/2022","178.889","170.197","178.889","178.889","960.14M","5.11%"
"01/03/2022","176.321","178.889","176.321","176.321","846.8M","-1.44%"
"01/04/2022","170.571","176.321","170.571","170.571","1152.1M","-3.26%"
"01/05/2022","168.039","170.571","168.039","168.039","1361.21M","-1.48%"
"01/06/2022","155.717","168.039","155.717","155.717","1980.98M","-7.33%"
"01/07/2022","150.724","155.717","150.724","150.724","1922.95M","-3.21%"
"01/08/2022","136.613","150.724","136.613","136.613","2713.16M","-9.36%"
"01/09/2022","142.377","136.613","142.377","142.377","2495.1M","4.22%"
"01/10/2022","140.971","142.377","140.971","140.971","1383.49M","-0.99%"
"01/11/2022","135.982","140.971","135.982","135.982","1797.34M","-3.54%"
"01/12/2022","140.263","135.982","140.263","140.263","1407.73M","3.15%"
"01/13/2022","151.922","140.263","151.922","151.922","2048.46M","8.31%"
"01/14/2022","146.899","151.922","146.899","146.899","1972.17M","-3.31%"
"01/15/2022","146.313","146.899","146.313","146.313","1627.09M","-0.4%"
"01/16/2022","147.704","146.313","147.704","147.704","1003.16M","0.95%"
"01/17/2022","147.942","147.704","147.942","147.942","1064.53M","0.16%"
"01/18/2022","140.048","147.942","140.048","140.048","1342.94M","-5.34%"
"01/19/2022","141.634","140.048","141.634","141.634","1327.5M","1.13%"
"01/20/2022","135.594","141.634","135.594","135.594","1310.09M","-4.26%"
"01/21/2022","128.569","135.594","128.569","128.569","1371.67M","-5.18%"
"01/22/2022","111.775","128.569","111.775","111.775","3853.06M","-13.06%"
"01/23/2022","94.515","111.775","94.515","94.515","4095.84M","-15.44%"
"01/24/2022","99.692","94.515","99.692","99.692","2611.99M","5.48%"
"01/25/2022","91.915","99.692","91.915","91.915","4359.83M","-7.8%"
"01/26/2022","95.093","91.915","95.093","95.093","2614.01M","3.46%"
"01/27/2022","92.248","95.093","92.248","92.248","2847.75M","-2.99%"
"01/28/2022","89.602","92.248","89.602","89.602","2421.52M","-2.87%"
"01/29/2022","91.426","89.602","91.426","91.426","1882.87M","2.04%"
"01/30/2022","96.179","91.426","96.179","96.179","1478.95M","5.2%"
"01/31/2022","93.403","96.179","93.403","93.403","941.97M","-2.89%"
"02/01/2022","99.89","93.403","99.89","99.89","1715.57M","6.95%"
"02/02/2022","110.127","99.89","110.127","110.127","3097.99M","10.25%"
"02/03/2022","101.829","110.127","101.829","101.829","2979.45M","-7.54%"
"02/04/2022","100.878","101.829","100.878","100.878","2283.97M","-0.93%"
"02/05/2022","112.481","100.878","112.481","112.481","2844.88M","11.5%"
"02/06/2022","114.333","112.481","114.333","114.333","2104.15M","1.65%"
"02/07/2022","115.283","114.333","115.283","115.283","1281.44M","0.83%"
"02/08/2022","117.672","115.283","117.672","117.672","2230.15M","2.07%"
"02/09/2022","113.697","117.672","113.697","113.697","2354.53M","-3.38%"
"02/10/2022","114.344","113.697","114.344","114.344","1634.21M","0.57%"
"02/11/2022","106.418","114.344","106.418","106.418","1963.72M","-6.93%"
"02/12/2022","96.463","106.418","96.463","96.463","1738.21M","-9.35%"
"02/13/2022","95.7","96.463","95.7","95.7","1336.52M","-0.79%"
"02/14/2022","93.367","95.7","93.367","93.367","910.05M","-2.44%"
"02/15/2022","96.442","93.367","96.442","96.442","1364.92M","3.29%"
"02/16/2022","104.851","96.442","104.851","104.851","1630.62M","8.72%"
"02/17/2022","101.956","104.851","101.956","101.956","1473.08M","-2.76%"
"02/18/2022","93.405","101.956","93.405","93.405","1463.18M","-8.39%"
"02/19/2022","90.109","93.405","90.109","90.109","1290.68M","-3.53%"
"02/20/2022","91.606","90.109","91.606","91.606","836.88M","1.66%"
"02/21/2022","90.803","91.606","90.803","90.803","1428.52M","-0.88%"
"02/22/2022","83.144","90.803","83.144","83.144","2247.46M","-8.44%"
"02/23/2022","86.573","83.144","86.573","86.573","1577.88M","4.12%"
"02/24/2022","85.269","86.573","85.269","85.269","1761.31M","-1.51%"
"02/25/2022","89.051","85.269","89.051","89.051","4075.67M","4.44%"
"02/26/2022","92.736","89.051","92.736","92.736","2417.5M","4.14%"
"02/27/2022","90.108","92.736","90.108","90.108","1316.25M","-2.83%"
"02/28/2022","85.568","90.108","85.568","85.568","1559.33M","-5.04%"
"03/01/2022","99.579","85.568","99.579","99.579","2674.55M","16.37%"
"03/02/2022","98.758","99.579","98.758","98.758","2476.56M","-0.82%"
"03/03/2022","100.79","98.758","100.79","100.79","2951.04M","2.06%"
"03/04/2022","95.559","100.79","95.559","95.559","1795.54M","-5.19%"
"03/05/2022","88.245","95.559","88.245","88.245","2029.34M","-7.65%"
"03/06/2022","89.789","88.245","89.789","89.789","1164.11M","1.75%"
"03/07/2022","84.639","89.789","84.639","84.639","1139.25M","-5.74%"
"03/08/2022","82.067","84.639","82.067","82.067","1884.46M","-3.04%"
"03/09/2022","82.254","82.067","82.254","82.254","1704.06M","0.23%"
"03/10/2022","88.185","82.254","88.185","88.185","2082.13M","7.21%"
"03/11/2022","83.025","88.185","83.025","83.025","1706.78M","-5.85%"
"03/12/2022","80.691","83.025","80.691","80.691","1382.84M","-2.81%"
"03/13/2022","81.61","80.691","81.61","81.61","776.19M","1.14%"
"03/14/2022","78.998","81.61","78.998","78.998","949.64M","-3.2%"
"03/15/2022","81.169","78.998","81.169","81.169","1317.77M","2.75%"
"03/16/2022","82.944","81.169","82.944","82.944","1247.13M","2.19%"
"03/17/2022","87.85","82.944","87.85","87.85","1872.44M","5.91%"
"03/18/2022","87.968","87.85","87.968","87.968","1939.38M","0.13%"
"03/19/2022","89.906","87.968","89.906","89.906","2216.69M","2.2%"
"03/20/2022","92.404","89.906","92.404","92.404","1493.44M","2.78%"
"03/21/2022","88.596","92.404","88.596","88.596","954.77M","-4.12%"
"03/22/2022","88.77","88.596","88.77","88.77","1145.75M","0.2%"
"03/23/2022","90.504","88.77","90.504","90.504","1405.73M","1.95%"
"03/24/2022","94.92","90.504","94.92","94.92","1433.43M","4.88%"
"03/25/2022","102.18","94.92","102.18","102.18","2412.1M","7.65%"
"03/26/2022","98.647","102.18","98.647","98.647","1817.21M","-3.46%"
"03/27/2022","101.641","98.647","101.641","101.641","1009.51M","3.04%"
"03/28/2022","106.91","101.641","106.91","106.91","1301.98M","5.18%"
"03/29/2022","106.24","106.91","106.24","106.24","2396.33M","-0.63%"
"03/30/2022","111.746","106.24","111.746","111.746","2434.69M","5.18%"
"03/31/2022","120.699","111.746","120.699","120.699","3208.46M","8.01%"
"04/01/2022","122.761","120.699","122.761","122.761","3421.56M","1.71%"
"04/02/2022","134.371","122.761","134.371","134.371","3831.72M","9.46%"
"04/03/2022","132.266","134.371","132.266","132.266","2989.2M","-1.57%"
"04/04/2022","136.675","132.266","136.675","136.675","2277.97M","3.33%"
"04/05/2022","132.345","136.675","132.345","132.345","2483.67M","-3.17%"
"04/06/2022","126.606","132.345","126.606","126.606","2136.27M","-4.34%"
"04/07/2022","112.529","126.606","112.529","112.529","3198.02M","-11.12%"
"04/08/2022","118.688","112.529","118.688","118.688","2381.09M","5.47%"
"04/09/2022","109.691","118.688","109.691","109.691","2314.9M","-7.58%"
"04/10/2022","113.006","109.691","113.006","113.006","1201.16M","3.02%"
"04/11/2022","112.174","113.006","112.174","112.174","1163.11M","-0.74%"
"04/12/2022","99.453","112.174","99.453","99.453","2180.41M","-11.34%"
"04/13/2022","103.503","99.453","103.503","103.503","2285.18M","4.07%"
"04/14/2022","104.844","103.503","104.844","104.844","1533.59M","1.3%"
"04/15/2022","100.739","104.844","100.739","100.739","1652.77M","-3.92%"
"04/16/2022","101.347","100.739","101.347","101.347","1039.85M","0.6%"
"04/17/2022","102.312","101.347","102.312","102.312","753.84M","0.95%"
"04/18/2022","100.443","102.312","100.443","100.443","1010.55M","-1.83%"
"04/19/2022","102.265","100.443","102.265","102.265","1645.73M","1.81%"
"04/20/2022","108.541","102.265","108.541","108.541","1691.71M","6.14%"
"04/21/2022","105.595","108.541","105.595","105.595","1664.92M","-2.71%"
"04/22/2022","101.803","105.595","101.803","101.803","1757.79M","-3.59%"
"04/23/2022","100.639","101.803","100.639","100.639","1205.0M","-1.14%"
"04/24/2022","100.765","100.639","100.765","100.765","778.99M","0.12%"
"04/25/2022","99.171","100.765","99.171","99.171","819.71M","-1.58%"
"04/26/2022","101.293","99.171","101.293","101.293","1553.59M","2.14%"
"04/27/2022","95.713","101.293","95.713","95.713","1216.99M","-5.51%"
"04/28/2022","98.368","95.713","98.368","98.368","1141.93M","2.77%"
