day,pSOL,nSOL,value of SOL in $,daily mint of fSOL,daily burn of fSOL,daily mint of xSOL,daily burn of xSOL,pX,nX,Marketcap xSOL,pF,nF,Marketcap fSOL,Total mcap,fSOL adjustment,Collaterization ratio
41,43.455,36431.7939435115,1583143.605815292,0,10924,8244,0,2.7221208656049134,347012.0,944608.6058152922,1,638535.0,638535.0,1583143.6058152923,0.0,2.4199009350848093
42,46.98,36593.07247277044,1719142.5447707549,0,15392,7428,0,3.0922004987325225,354440.0,1095999.5447707553,1,623143.0,623143.0,1719142.5447707553,0.0,2.6804571080147057
43,46.837,36583.24037132122,1713449.229271572,13628,0,0,4578,3.0774369016114123,349862.0,1076678.2292715719,1,636771.0,636771.0,1713449.2292715719,0.0,2.7504276472770277
44,56.083,36636.521583489084,2054686.0399668182,0,9642,3123,0,4.044242786426671,352985.0,1427557.0399668184,1,627129.0,627129.0,2054686.0399668184,0.0,3.22203409034772
45,35.698,37743.11622882082,1347353.7631364458,10553,0,15012,0,1.9284715993240316,367997.0,709671.7631364457,1,637682.0,637682.0,1347353.7631364455,0.0,2.085456975339034
46,44.748,37262.21969771557,1667409.8070333763,6162,0,0,9690,2.8566726495250614,358307.0,1023565.8070333762,1,643844.0,643844.0,1667409.8070333763,0.0,2.648544203862229
47,38.667,37172.08958586107,1437333.1880164898,0,34080,13755,0,2.2242776419427135,372062.0,827569.1880164898,1,609764.0,609764.0,1437333.1880164898,0.0,2.2378375026428263
48,31.272,35702.63383653177,1116492.7653360215,0,53288,4938,0,1.4854556109708794,377000.0,560016.7653360215,1,556476.0,556476.0,1116492.7653360215,0.0,1.9063860535043842
49,24.611,36495.420628489876,898188.7970877644,15156,0,5096,0,0.8546459452278075,382096.0,326556.7970877643,1,571632.0,571632.0,898188.7970877644,0.0,1.5790034455230475
50,30.637,36734.8859255557,1125446.70010125,0,3187,7358,0,1.4302117839366137,389454.0,557001.70010125,1,568445.0,568445.0,1125446.7001012499,0.0,1.9559965183807841
51,29.944,35775.02782151408,1071247.4330874176,0,29060,233,0,1.36484520419572,389687.0,531862.4330874175,1,539385.0,539385.0,1071247.4330874174,0.0,1.935085055114989
52,35.5,38197.40614957355,1356007.918309861,52891,0,17656,0,1.8749111149813822,407343.0,763731.9183098612,1,592276.0,592276.0,1356007.9183098613,0.0,2.35455840941767
53,33.517,38440.048907498734,1288395.1192326352,0,14013,13112,0,1.688961052271076,420455.0,710132.1192326352,1,578263.0,578263.0,1288395.1192326352,0.0,2.161597738073562
54,29.087,38280.66124663624,1113469.5936809084,0,11884,5645,0,1.283948823470801,426100.0,547090.5936809083,1,566379.0,566379.0,1113469.5936809084,0.0,1.933559128929943
55,26.9,39338.92937835739,1058217.2002778137,6581,0,20126,0,1.0874695788183875,446226.0,485257.20027781377,1,572960.0,572960.0,1058217.2002778137,0.0,1.8181284749867401
56,28.519,39320.473039013574,1121380.5705996281,10992,0,0,9363,1.230199331597384,436863.0,537428.570599628,1,583952.0,583952.0,1121380.5705996281,0.0,1.9580894424416615
57,32.724,40512.029017896806,1325715.637581655,42575,0,0,2227,1.6086763120902434,434636.0,699188.637581655,1,626527.0,626527.0,1325715.637581655,0.0,2.203474189194797
58,31.002,40234.529659969354,1247350.8885183698,14084,0,0,15666,1.4481702473169198,418970.0,606739.8885183699,1,640611.0,640611.0,1247350.8885183698,0.0,2.0046285692601225
59,34.009,42302.036807921744,1438649.9698006106,37913,0,18654,0,1.7369384901207667,437624.0,760125.9698006104,1,678524.0,678524.0,1438649.9698006106,0.0,2.1359859871371203
