day,pSOL,nSOL,value of SOL in $,daily mint of fSOL,daily burn of fSOL,daily mint of xSOL,daily burn of xSOL,pX,nX,Marketcap xSOL,pF,nF,Marketcap fSOL,Total mcap,fSOL adjustment,Collaterization ratio
265,193.127,19353.709117015667,3737723.780641885,0,14207,0,2273,16.668814285921204,133379.0,2223269.780641884,1,1514454.0,1514454.0,3737723.780641884,0.0,2.4791755631325607
266,197.754,19309.622841078595,3818555.1553146564,12905,0,0,1247,17.340206424746896,132132.0,2291196.155314657,1,1527359.0,1527359.0,3818555.155314657,0.0,2.527163844346752
267,195.645,18426.1902017772,3604991.982026701,15143,0,0,11037,17.0319995212577,121095.0,2062489.982026701,1,1542502.0,1542502.0,3604991.982026701,0.0,2.473440206750883
268,177.151,18265.406757730143,3235735.072538653,0,297386,18913,0,14.217895209835525,140008.0,1990619.0725386522,1,1245116.0,1245116.0,3235735.0725386525,0.0,2.1161839792979413
269,170.626,18378.305108910765,3135816.6875130082,57492,0,0,2860,13.366645430578707,137148.0,1833208.6875130085,1,1302608.0,1302608.0,3135816.6875130087,0.0,2.503022444048959
270,172.482,17834.502894520323,3076130.7282526544,0,138046,3250,0,13.615355833079203,140398.0,1911568.728252654,1,1164562.0,1164562.0,3076130.728252654,0.0,2.433523225556074
271,169.985,17881.98609590823,3039669.4065129603,0,46092,4073,0,13.298166459102246,144471.0,1921199.4065129606,1,1118470.0,1118470.0,3039669.406512961,0.0,2.6032087381565234
272,179.068,17944.996136324346,3213374.568139328,0,17331,1984,0,14.422420321186223,146455.0,2112235.568139328,1,1101139.0,1101139.0,3213374.568139328,0.0,2.862921210423252
273,176.367,18786.58463863575,3313333.5729622715,0,13553,11495,0,14.09146928117931,157950.0,2225747.572962272,1,1087586.0,1087586.0,3313333.572962272,0.0,2.8742103708751716
274,170.039,18131.185069619347,3083008.578053004,21918,0,0,9998,13.33881649489702,147952.0,1973504.578053004,1,1109504.0,1109504.0,3083008.578053004,0.0,2.937194911822131
275,167.767,17838.18439444785,2992658.681303332,23695,0,0,5578,13.060388001343874,142374.0,1859459.6813033328,1,1133199.0,1133199.0,2992658.6813033326,0.0,2.7415985211182914
276,154.54,17299.745605907712,2673502.6859369776,0,37324,0,4024,11.403163613566877,138350.0,1577627.6859369774,1,1095875.0,1095875.0,2673502.685936977,0.0,2.4326821823157014
277,150.336,16873.824351043764,2536743.2576385154,0,62726,0,120,10.877481426886462,138230.0,1503594.2576385157,1,1033149.0,1033149.0,2536743.257638516,0.0,2.3732401555010765
278,136.405,17317.84039167758,2362240.0186267802,70110,0,0,1040,9.176915362830966,137190.0,1258981.0186267802,1,1103259.0,1103259.0,2362240.0186267802,0.0,2.2278238769084853
279,142.033,17441.74293787973,2477303.0746958717,0,35833,5404,0,9.887352025301707,142594.0,1409877.0746958717,1,1067426.0,1067426.0,2477303.0746958717,0.0,2.229489924261793
280,140.755,17045.097434902767,2399182.689449739,0,47539,0,852,9.731030248266137,141742.0,1379295.6894497387,1,1019887.0,1019887.0,2399182.6894497387,0.0,2.2999369766346907
281,135.964,17356.18370410995,2359816.161145605,0,5492,5220,0,9.154891476338136,146962.0,1345421.1611456051,1,1014395.0,1014395.0,2359816.161145605,0.0,2.2723298048108465
282,140.209,17874.64612995194,2506186.2592344317,62303,0,1076,0,9.656225153233844,148038.0,1429488.259234432,1,1076698.0,1076698.0,2506186.259234432,0.0,2.398960129899647
283,151.437,17279.16001976568,2616704.1559132556,0,2865,0,7929,11.011934678809038,140109.0,1542871.1559132554,1,1073833.0,1073833.0,2616704.155913255,0.0,2.514059453980162
284,146.061,17681.452642559456,2582570.654424877,4179,0,5274,0,10.348931129670436,145383.0,1504558.6544248771,1,1078012.0,1078012.0,2582570.654424877,0.0,2.3502829505584155
285,146.162,17996.15405998702,2630353.869715823,0,28966,7235,0,10.361214730345194,152618.0,1581307.8697158229,1,1049046.0,1049046.0,2630353.869715823,0.0,2.3973355409232693
286,147.677,18065.910982439927,2667919.536153781,88444,0,0,7414,10.539857966404377,145204.0,1530429.536153781,1,1137490.0,1137490.0,2667919.536153781,0.0,2.5333665474313833
287,147.954,19058.75147036994,2819818.5150471143,0,42153,17878,0,10.57432159923912,163082.0,1724481.515047114,1,1095337.0,1095337.0,2819818.5150471143,0.0,2.349843773128482
288,139.824,19705.00118119264,2755232.08515908,25292,0,6761,0,9.624200497866147,169843.0,1634603.0851590799,1,1120629.0,1120629.0,2755232.08515908,0.0,2.432923260688726
289,141.282,18298.293493016798,2585219.5012803995,0,60000,0,14167,9.793356081094064,155676.0,1524590.5012803995,1,1060629.0,1060629.0,2585219.5012803995,0.0,2.484285144219237
290,135.276,17843.797690056126,2413837.5763200326,51674,0,0,12452,9.087405576719215,143224.0,1301534.5763200328,1,1112303.0,1112303.0,2413837.5763200326,0.0,2.333822618994333
291,127.672,17574.374818929344,2243755.5818823474,0,131826,11969,0,8.140048725666409,155193.0,1263278.581882347,1,980477.0,980477.0,2243755.581882347,0.0,2.048140964004274
292,112.362,19709.12788089631,2214557.026953271,16887,0,34806,0,6.406312806663566,189999.0,1217193.026953271,1,997364.0,997364.0,2214557.0269532707,0.0,2.0140114489218397
293,94.665,18553.364975919118,1756354.2954453833,0,22163,0,19089,4.570553481044897,170910.0,781153.2954453833,1,975201.0,975201.0,1756354.2954453833,0.0,1.8706957448284172
294,99.766,18029.763435290897,1798757.3788852317,0,1999,0,9804,5.124299398440973,161106.0,825555.3788852314,1,973202.0,973202.0,1798757.3788852314,0.0,1.898065127278937
295,91.784,17215.977244925285,1580151.2554482224,0,79774,1201,0,4.231014407562349,162307.0,686723.2554482223,1,893428.0,893428.0,1580151.2554482222,0.0,1.7004114327187365
296,94.704,16601.139146073834,1572194.2816897763,0,40882,0,3820,4.540740134457565,158487.0,719648.281689776,1,852546.0,852546.0,1572194.281689776,0.0,1.8249057663330497
297,91.905,17790.2789323978,1635015.5852820198,33639,0,17810,0,4.247551491415168,176297.0,748830.5852820198,1,886185.0,886185.0,1635015.5852820198,0.0,1.7896133384238688
298,89.422,17795.85359829454,1591340.8204666942,5143,0,0,1162,3.9969898676260853,175135.0,700012.8204666944,1,891328.0,891328.0,1591340.8204666944,0.0,1.795158260061811
299,91.318,18061.606901420913,1649349.819023955,45254,0,0,5009,4.189646609124736,170126.0,712767.8190239549,1,936582.0,936582.0,1649349.819023955,0.0,1.8232140793165488
300,96.186,18075.058299305783,1738567.5575770263,0,88449,19068,0,4.70646298284843,189194.0,890434.557577026,1,848133.0,848133.0,1738567.557577026,0.0,1.8549082957179104
301,93.385,17911.6436000735,1672678.837592864,11133,0,0,5946,4.4388633851003245,183248.0,813412.8375928643,1,859266.0,859266.0,1672678.8375928644,0.0,1.9901823408364852
302,99.627,18615.645596629965,1854620.9238554535,0,8561,15587,0,5.0489899859454,198835.0,1003915.9238554535,1,850705.0,850705.0,1854620.9238554535,0.0,2.0767530857086425
303,109.981,18765.34159570072,2063831.0340367607,0,153,2761,0,6.0183685888448215,201596.0,1213279.0340367607,1,850552.0,850552.0,2063831.0340367607,0.0,2.4066713118683447
304,101.908,17829.60016698091,1816978.8938166904,0,38635,0,10770,5.266902276506821,190826.0,1005061.8938166907,1,811917.0,811917.0,1816978.8938166907,0.0,2.2483498143966143
305,101.675,17301.402368423896,1759120.0858094997,0,24893,0,5493,5.245132198850177,185333.0,972096.0858094998,1,787024.0,787024.0,1759120.0858095,0.0,2.2327708336908625
306,112.401,16851.116098527382,1894082.3005905761,18854,0,0,11121,6.24643710301573,174212.0,1088204.3005905764,1,805878.0,805878.0,1894082.3005905764,0.0,2.470947426778871
307,113.912,18112.710816329112,2063255.114509682,58945,0,13260,0,6.392592571208936,187472.0,1198432.1145096817,1,864823.0,864823.0,2063255.1145096817,0.0,2.3819291964980445
308,115.286,17761.117072361765,2047608.1428042985,0,8390,0,4926,6.525342340036475,182546.0,1191175.1428042983,1,856433.0,856433.0,2047608.1428042983,0.0,2.414531041810079
309,117.512,17868.117330022636,2099718.20368562,37674,0,0,3723,6.741924717098024,178823.0,1205611.2036856199,1,894107.0,894107.0,2099718.20368562,0.0,2.437020046410374
310,113.293,16734.57090748831,1895909.741822073,0,52528,0,12008,6.320359331127733,166815.0,1054330.7418220728,1,841579.0,841579.0,1895909.7418220728,0.0,2.264083176476926
311,113.991,16665.416641052452,1899707.50833021,0,35630,4342,0,6.3903813944519365,171157.0,1093758.50833021,1,805949.0,805949.0,1899707.50833021,0.0,2.2666802193442326
312,106.19,15240.230376396577,1618360.0636695526,0,69097,0,14606,5.630804425839199,156551.0,881508.0636695524,1,736852.0,736852.0,1618360.0636695526,0.0,2.195797244135001
313,96.483,14733.40750028836,1421523.355850322,9331,0,0,12427,4.685828563253323,144124.0,675340.3558503219,1,746183.0,746183.0,1421523.355850322,0.0,1.995547474127601
314,95.891,15091.46619921213,1447135.7853086505,1037,0,7199,0,4.625310001180589,151323.0,699915.7853086502,1,747220.0,747220.0,1447135.7853086502,0.0,1.8933709004495562
315,92.811,15649.034121949793,1452402.5058922824,20891,0,7146,0,4.318141124713871,158469.0,684291.5058922825,1,768111.0,768111.0,1452402.5058922824,0.0,1.874486857170682
316,96.458,14490.869581041341,1397760.2980480855,0,54990,0,12125,4.678287446346182,146344.0,684639.2980480856,1,713121.0,713121.0,1397760.2980480855,0.0,1.965177602371315
317,105.352,14042.878976131879,1479445.3858934457,0,20497,0,4803,5.558964440645789,141541.0,786821.3858934456,1,692624.0,692624.0,1479445.3858934455,0.0,2.140789700628459
318,101.763,13662.907119680707,1390378.417220068,0,12918,0,4949,5.202884628822098,136592.0,710672.4172200679,1,679706.0,679706.0,1390378.417220068,0.0,2.063234154820088
319,93.591,14009.740905539542,1311185.6610903512,16629,0,3610,0,4.385462839976257,140202.0,614850.6610903512,1,696335.0,696335.0,1311185.6610903512,0.0,1.881291529334796
320,89.96,13596.75909277919,1223164.4479864158,0,69526,8048,0,4.022633713230461,148250.0,596355.4479864159,1,626809.0,626809.0,1223164.447986416,0.0,1.8099281119896848
321,91.264,13612.4903574761,1242330.3199846987,0,3390,1165,0,4.142230164205059,149415.0,618911.3199846989,1,623419.0,623419.0,1242330.319984699,0.0,1.9797013473696132
322,90.6,14097.065850993284,1277194.1660999914,7371,0,8950,0,4.081736280743797,158365.0,646404.1660999914,1,630790.0,630790.0,1277194.1660999914,0.0,1.9782708361268015
323,82.879,13333.69268874586,1105083.1163505681,0,36645,0,7843,3.394441452748223,150522.0,510938.116350568,1,594145.0,594145.0,1105083.116350568,0.0,1.8522023504882328
324,86.413,13897.874172875163,1200957.0009006613,0,5577,14654,0,3.707493830221468,165176.0,612389.0009006612,1,588568.0,588568.0,1200957.000900661,0.0,1.939264634580104
325,84.431,14152.532010696874,1194912.4301951476,0,15404,10423,0,3.540728763803596,175599.0,621748.4301951476,1,573164.0,573164.0,1194912.4301951476,0.0,1.9936717835322728
326,89.409,13029.274394944421,1164934.3943775857,0,2287,0,24897,3.9419343763028083,150702.0,594057.3943775858,1,570877.0,570877.0,1164934.394377586,0.0,2.207681805808454
327,92.778,12569.43166939211,1166166.7314228613,4156,0,0,11060,4.233208715306723,139642.0,591133.7314228613,1,575033.0,575033.0,1166166.7314228613,0.0,2.117496448121318
328,90.13,13184.88082840495,1188353.309064138,0,901,14111,0,3.994857395069612,153753.0,614221.309064138,1,574132.0,574132.0,1188353.309064138,0.0,1.9701180216827743
329,85.607,12064.010735422034,1032763.7670272741,0,71030,0,6910,3.606993639651016,146843.0,529661.7670272741,1,503102.0,503102.0,1032763.7670272741,0.0,1.9659557263438767
330,99.705,12507.53052290196,1247063.33078594,21410,0,4787,0,4.765226741317284,151630.0,722551.3307859398,1,524512.0,524512.0,1247063.33078594,0.0,2.3908515378099353
331,98.63,12524.170726268763,1235258.958731888,2324,0,0,146,4.676553026932798,151484.0,708422.958731888,1,526836.0,526836.0,1235258.9587318879,0.0,2.351934246449691
332,100.702,12457.36559941663,1254481.6305924533,0,750,0,1233,4.847858786912922,150251.0,728395.6305924534,1,526086.0,526086.0,1254481.6305924533,0.0,2.393931015490052
333,95.649,12244.536032025198,1171177.6269271781,0,10073,0,2322,4.428912700871217,147929.0,655164.6269271782,1,516013.0,516013.0,1171177.6269271784,0.0,2.2649045255311893
334,88.275,12596.597029921431,1111964.6028163144,15720,0,4022,0,3.8185441544729186,151951.0,580231.6028163144,1,531733.0,531733.0,1111964.6028163144,0.0,2.0946883474389684
335,89.623,13160.928047974761,1179521.854443642,3500,0,11978,0,3.9302921047748853,163929.0,644288.8544436422,1,535233.0,535233.0,1179521.8544436423,0.0,2.123142283086904
336,84.538,12851.367632439229,1086428.9169111475,0,18083,0,2296,3.522046345184137,161633.0,569278.9169111475,1,517150.0,517150.0,1086428.9169111475,0.0,2.0787181196220903
337,81.786,13406.01034903049,1096423.9624058076,25754,0,5936,0,3.3032360544361286,167569.0,553519.9624058076,1,542904.0,542904.0,1096423.9624058076,0.0,2.032412168977424
338,82.308,12408.73259273958,1021337.9622432094,0,106382,7264,0,3.3449975819393902,174833.0,584815.9622432094,1,436522.0,436522.0,1021337.9622432094,0.0,2.0324438571239147
339,88.089,12062.3597542908,1062561.208395722,0,8284,0,5919,3.7553027481187002,168914.0,634323.2083957221,1,428238.0,428238.0,1062561.208395722,0.0,2.50404984253219
340,82.871,11778.565862165642,976101.5315635288,0,1037,0,6646,3.38267884957927,162268.0,548900.5315635289,1,427201.0,427201.0,976101.5315635289,0.0,2.334262291524416
341,80.665,11332.637390937038,914147.1951399362,0,12733,0,7211,3.2225516754479724,155057.0,499679.19513993623,1,414468.0,414468.0,914147.1951399362,0.0,2.224053818393664
342,81.402,11333.159374059143,922541.8393671624,5904,0,0,1789,3.2764167299577367,153268.0,502169.8393671624,1,420372.0,420372.0,922541.8393671624,0.0,2.2257432392779584
343,78.858,11495.936287979688,906546.5437975023,10344,0,807,0,3.0883046814700785,154075.0,475830.54379750235,1,430716.0,430716.0,906546.5437975023,0.0,2.1259985962898478
344,81.223,10983.974786925008,892151.38411841,0,7130,0,10553,3.264763479594835,143522.0,468565.3841184099,1,423586.0,423586.0,892151.3841184098,0.0,2.1678656774268292
345,82.85,10682.548429711504,885049.137401598,0,5678,0,5693,3.3892804663865945,137829.0,467141.1374015979,1,417908.0,417908.0,885049.1374015979,0.0,2.1483767430857883
346,87.795,10453.376097910224,917754.1545160281,4507,0,0,6528,3.7725467019750667,131301.0,495339.15451602824,1,422415.0,422415.0,917754.1545160282,0.0,2.2442124567764234
347,87.813,10565.944942879887,927827.3232691116,2054,0,2075,0,3.773979750998017,133376.0,503358.3232691115,1,424469.0,424469.0,927827.3232691116,0.0,2.1730817212594027
348,89.792,10641.132724185549,955488.5895700689,27372,0,0,5246,3.9307546208543576,128130.0,503647.5895700688,1,451841.0,451841.0,955488.5895700688,0.0,2.2351157052954886
349,92.435,10175.692690693992,940590.1538642992,0,34876,0,1963,4.150254455319529,126167.0,523625.153864299,1,416965.0,416965.0,940590.153864299,0.0,2.176900952680459
350,88.606,10645.853586355815,943286.5028726433,11596,0,7826,0,3.8414357680822384,133993.0,514725.50287264335,1,428561.0,428561.0,943286.5028726433,0.0,2.162357575699715
351,88.62,10116.475952161389,896522.0988805423,0,4680,0,10991,3.84254807954783,123002.0,472641.09888054215,1,423881.0,423881.0,896522.0988805422,0.0,2.2014031720638423
352,90.424,9815.49096396277,887555.9549253696,0,16784,0,2614,3.9909206476174495,120388.0,480458.95492536953,1,407097.0,407097.0,887555.9549253695,0.0,2.1580873440853483
353,94.924,10492.774992040431,996016.173344446,32753,0,7237,0,4.35781526616608,127625.0,556166.173344446,1,439850.0,439850.0,996016.173344446,0.0,2.2887067806031536
354,102.35,10373.838365113186,1061762.3566693345,0,22716,2122,0,4.968348837887077,129747.0,644628.3566693346,1,417134.0,417134.0,1061762.3566693347,0.0,2.4415949083445225
355,98.649,10423.860966563325,1028303.4604905054,0,9919,3179,0,4.672437751008122,132926.0,621088.4604905056,1,407215.0,407215.0,1028303.4604905056,0.0,2.453333415353461
356,101.804,10291.55054695427,1047721.0118821325,13432,0,0,5468,4.919848200051253,127458.0,627074.0118821326,1,420647.0,420647.0,1047721.0118821326,0.0,2.605971641123271
357,107.093,10555.210391534134,1130389.146460565,28450,0,0,40,5.346906610216493,127418.0,681292.1464605652,1,449097.0,449097.0,1130389.1464605653,0.0,2.620137604036101
358,105.689,10812.91379543791,1142806.0461260371,32943,0,0,1091,5.230600316053078,126327.0,660766.0461260371,1,482040.0,482040.0,1142806.0461260371,0.0,2.484028241272712
359,111.709,11073.275956503681,1236984.5838250697,20782,0,1445,0,5.745880034945604,127772.0,734162.5838250697,1,502822.0,502822.0,1236984.5838250697,0.0,2.505808205075457
360,120.727,10736.369262923825,1296169.6520050047,0,17645,0,3528,6.527419046432865,124244.0,810992.6520050048,1,485177.0,485177.0,1296169.6520050047,0.0,2.6586811762429248
361,122.919,11086.947358124546,1362796.482313311,45363,0,0,338,6.7168376213687075,123906.0,832256.4823133111,1,530540.0,530540.0,1362796.4823133112,0.0,2.7200460315087764
362,134.599,11316.569238333519,1523198.9029104533,44467,0,0,1747,7.76194879550793,122159.0,948191.9029104533,1,575007.0,575007.0,1523198.9029104533,0.0,2.812779484027982
363,132.376,10727.399292496057,1420050.2087434581,0,42048,0,4757,7.556014452423792,117402.0,887091.208743458,1,532959.0,532959.0,1420050.2087434581,0.0,2.6052590133574687
364,136.804,10314.662839051845,1411087.1350336487,0,13007,0,5459,7.9606150901230865,111943.0,891135.1350336487,1,519952.0,519952.0,1411087.1350336487,0.0,2.7535910507386694
365,132.132,9849.347299233403,1301413.957342308,0,6852,0,7255,7.530127209826415,104688.0,788313.9573423078,1,513100.0,513100.0,1301413.9573423078,0.0,2.621197784121608
366,126.784,9708.747273834691,1230913.8143658575,0,6927,0,1551,7.026972031044703,103137.0,724740.8143658575,1,506173.0,506173.0,1230913.8143658575,0.0,2.4337159383862947
367,112.99,9403.558018409036,1062508.020500037,0,4025,0,5317,5.728481092823931,97820.0,560360.0205000369,1,502148.0,502148.0,1062508.020500037,0.0,2.1672261350774966
368,118.577,9380.296688089606,1112287.4403836012,2981,0,0,916,6.265566337649645,96904.0,607158.4403836012,1,505129.0,505129.0,1112287.4403836012,0.0,2.2205519073039985
369,110.009,10214.038124758372,1123636.1200665438,5686,0,15826,0,5.436184867085459,112730.0,612821.1200665438,1,510815.0,510815.0,1123636.1200665438,0.0,2.042878271411955
370,112.812,10122.577802552323,1141948.2470615327,0,2124,0,1440,5.690154075492251,111290.0,633257.2470615327,1,508691.0,508691.0,1141948.2470615327,0.0,2.255740471462744
371,111.044,9813.807362439928,1089764.4247547793,0,9770,0,4434,5.529342524095788,106856.0,590843.4247547796,1,498921.0,498921.0,1089764.4247547796,0.0,2.209694155207425
372,99.532,9912.025150292126,986563.6872588758,0,15147,5573,0,4.4720640338246875,112429.0,502789.6872588758,1,483774.0,483774.0,986563.6872588758,0.0,1.9578006826699434
373,103.181,10006.103383012318,1032439.7531625939,0,54237,13339,0,4.793769107901802,125768.0,602902.7531625939,1,429537.0,429537.0,1032439.7531625939,0.0,2.114071171729551
374,104.88,9693.866435788439,1016692.7117854914,0,6348,0,5356,4.928941565504197,120412.0,593503.7117854914,1,423189.0,423189.0,1016692.7117854914,0.0,2.443189114815096
375,100.744,9293.638991835302,936278.3665934557,24547,0,0,14114,4.595969506420212,106298.0,488542.36659345566,1,447736.0,447736.0,936278.3665934557,0.0,2.307713291713798
376,101.407,8508.563880314021,862827.9374110039,0,59791,0,4259,4.653935626681992,102039.0,474882.9374110038,1,387945.0,387945.0,862827.9374110037,0.0,2.104901212422147
377,102.118,8329.820809157805,850624.6413895767,0,16476,0,377,4.71322265339632,101662.0,479155.6413895767,1,371469.0,371469.0,850624.6413895767,0.0,2.239692550051959
378,100.296,8697.307736071418,872305.176697019,39144,0,0,501,4.563934487569508,101161.0,461692.176697019,1,410613.0,410613.0,872305.176697019,0.0,2.2490374913526874
379,102.304,9238.314454305915,945116.5219333124,0,3860,12500,0,4.736572104180962,113661.0,538363.5219333124,1,406753.0,406753.0,945116.5219333124,0.0,2.1669293729888004
380,108.576,9478.43657248821,1029130.7292944798,19949,0,1167,0,5.246357415390671,114828.0,602428.7292944799,1,426702.0,426702.0,1029130.7292944799,0.0,2.4660155676558477
381,105.55,9397.216839682827,991876.2374285224,7861,0,0,3289,4.996577317606599,111539.0,557313.2374285224,1,434563.0,434563.0,991876.2374285224,0.0,2.3446081345438516
382,101.757,9171.659797999644,933280.5860650499,0,8486,0,3093,4.677015160218448,108446.0,507203.5860650498,1,426077.0,426077.0,933280.5860650497,0.0,2.200446411580382
383,100.533,9219.316122654624,926845.5077588373,15772,0,0,2401,4.573497173453132,106045.0,484996.5077588373,1,441849.0,441849.0,926845.5077588373,0.0,2.1640559675183084
384,100.583,9231.582038834187,928540.216212059,3660,0,0,530,4.577844062095997,105515.0,483031.2162120591,1,445509.0,445509.0,928540.2162120591,0.0,2.098695422112464
385,99.227,9109.038085406422,903862.5221006231,14658,0,0,6014,4.459206662250865,99501.0,443695.5221006233,1,460167.0,460167.0,903862.5221006232,0.0,2.056124996279312
386,101.007,9011.534512257567,910228.0664796002,0,32303,4858,0,4.622160680723274,104359.0,482364.06647960015,1,427864.0,427864.0,910228.0664796002,0.0,1.999440659353336
387,95.683,8495.477533010044,812872.776791,1949,0,0,12331,4.162426400562873,92028.0,383059.77679100004,1,429813.0,429813.0,812872.776791,0.0,2.015244696296816
388,98.324,8584.288281176365,844041.5609583849,0,26663,8033,0,4.406227810619371,100061.0,440891.5609583849,1,403150.0,403150.0,844041.5609583849,0.0,1.9434250079817956
389,98.233,8132.766473903047,798906.049030918,3716,0,0,10929,4.398420870516963,89132.0,392040.049030918,1,406866.0,406866.0,798906.0490309179,0.0,2.091679004650373
390,93.915,8642.09522430849,811622.372990932,19254,0,7137,0,4.004428974965273,96269.0,385502.37299093185,1,426120.0,426120.0,811622.3729909318,0.0,1.8772489305978004
391,84.757,8822.617857871412,747778.6217796073,0,1152,5170,0,3.1823127375033993,101439.0,322810.6217796073,1,424968.0,424968.0,747778.6217796074,0.0,1.7189478666261024
392,89.681,9148.572028543187,820453.0880917816,5301,0,6628,0,3.610575736272697,108067.0,390184.08809178154,1,430269.0,430269.0,820453.0880917816,0.0,1.8618371079981695
393,87.462,9172.814115520923,802272.668171691,7624,0,0,1608,3.4227230029559834,106459.0,364379.668171691,1,437893.0,437893.0,802272.668171691,0.0,1.859656184295044
394,85.833,9691.471397232599,831848.0644386656,0,73,13585,0,3.282363670309766,120044.0,394028.0644386656,1,437820.0,437820.0,831848.0644386655,0.0,1.7979966658007946
395,92.792,9502.28713146721,881736.2275031054,0,10839,0,1747,3.8441822489421154,118297.0,454755.2275031054,1,426981.0,426981.0,881736.2275031054,0.0,2.0540199485907618
396,84.438,9637.856431391132,813801.3213538044,649,0,3403,0,3.1731415066048028,121700.0,386171.3213538045,1,427630.0,427630.0,813801.3213538046,0.0,1.8791330780686457
397,81.639,9295.174161173602,758848.7233440516,0,3051,0,8445,2.951478728038953,113255.0,334269.7233440516,1,424579.0,424579.0,758848.7233440516,0.0,1.8399667029963767
398,78.841,9092.15827848362,716834.8508339269,0,18589,949,0,2.721838559366808,114204.0,310844.85083392693,1,405990.0,405990.0,716834.8508339269,0.0,1.726041151449054
399,75.317,9376.48306467676,706208.5749822595,0,26315,19551,0,2.441281260380991,133755.0,326533.5749822595,1,379675.0,379675.0,706208.5749822594,0.0,1.6867264835600648
400,61.967,8786.974556594405,544502.4523484855,0,51229,9764,0,1.5054205530172688,143519.0,216056.4523484854,1,328446.0,328446.0,544502.4523484854,0.0,1.5303418083066433
401,66.673,8731.844951341298,582178.2984407784,0,2135,0,859,1.7935461828177368,142660.0,255867.29844077834,1,326311.0,326311.0,582178.2984407784,0.0,1.7837146885997053
402,50.647,8335.695149076131,422177.9522152588,0,17543,0,3102,0.8126366973964859,139558.0,113409.95221525879,1,308768.0,308768.0,422177.9522152588,0.0,1.355276871605869
403,44.622,7946.201069598415,354575.3841276205,0,20160,6140,0,0.4527679455285626,145698.0,65967.3841276205,1,219891.28042540167,219891.28042540167,285858.6645530222,-68716.71957459833,1.2046435801056947
404,48.832,7594.8460734019245,370871.5234563628,0,3570,0,11774,1.1540145383274183,133924.0,154550.24303096117,1,216321.28042540167,216321.28042540167,370871.52345636283,0.0,1.7646397341447517
405,52.318,7962.253179761067,416569.1618587395,2619,0,12283,0,1.351706015671875,146207.0,197628.88143333784,1,218940.28042540167,218940.28042540167,416569.1618587395,0.0,1.836838040561002
406,58.664,7887.798139594457,462729.79006116925,1588,0,0,3509,1.697301361166713,142698.0,242201.5096357676,1,220528.28042540167,220528.28042540167,462729.7900611693,0.0,2.133447621561145
407,53.643,7697.131309042659,412897.21481097536,0,14960,3333,0,1.4197597385868321,146031.0,207328.9343855737,1,205568.28042540167,205568.28042540167,412897.21481097536,0.0,1.9186888628798628
408,57.056,7601.587337378986,433716.1671214954,6810,0,0,7665,1.5996551659807592,138366.0,221337.88669609372,1,212378.28042540167,212378.28042540167,433716.16712149535,0.0,2.136358406364676
409,49.91,7421.244569168064,370394.3164471781,0,1569,0,6157,1.2070663572205855,132209.0,159585.03602177638,1,210809.28042540167,210809.28042540167,370394.316447178,0.0,1.7864125429805833
410,52.167,7568.629920075845,394832.7170405966,2499,0,3891,0,1.3337578002585964,136100.0,181524.43661519495,1,213308.28042540167,213308.28042540167,394832.71704059665,0.0,1.8364659499740938
411,49.414,7416.4748930487485,366477.6903651109,0,10253,2316,0,1.180661267047951,138416.0,163422.40993970918,1,203055.28042540167,203055.28042540167,366477.6903651109,0.0,1.7533134584591152
412,50.293,7081.839225239251,356166.94015495764,0,18173,1094,0,1.2277590117522472,139510.0,171284.659729556,1,184882.28042540167,184882.28042540167,356166.9401549577,0.0,1.836922295321111
413,52.46,6377.049910674598,334540.0383139894,0,26021,0,8187,1.3377607722073648,131323.0,175678.75788858777,1,158861.28042540167,158861.28042540167,334540.0383139894,0.0,2.0094585857618377
414,49.094,6456.971797058231,316998.5734047768,5637,0,0,1459,1.1743076832638384,129864.0,152500.2929793751,1,164498.28042540167,164498.28042540167,316998.57340477675,0.0,1.9707438305690412
415,49.659,6219.963675082653,308877.17614092946,0,13079,1089,0,1.2024000650273596,130953.0,157457.89571552782,1,151419.28042540167,151419.28042540167,308877.17614092946,0.0,1.9492408166268025
416,47.961,6550.886822738983,314187.08290538436,0,1500,15486,0,1.121749004568337,146439.0,164267.8024799827,1,149919.28042540167,149919.28042540167,314187.08290538436,0.0,1.9701300718279897
417,43.369,6470.056830772558,280599.89469377504,0,13915,11360,0,0.916327823803531,157799.0,144595.61426837338,1,136004.28042540167,136004.28042540167,280599.89469377504,0.0,1.8950558581204968
418,41.076,6325.628267922798,259831.50673319685,0,1659,0,5197,0.8223104959816726,152602.0,125486.22630779521,1,134345.28042540167,134345.28042540167,259831.50673319687,0.0,1.954085956335655
419,44.245,5684.917322614117,251529.1669390616,0,10280,0,18946,0.9536712643926194,133656.0,127463.88651365993,1,124065.28042540167,124065.28042540167,251529.1669390616,0.0,2.0832694816521866
420,44.96,5710.580226398507,256747.68697887688,1389,0,0,239,0.9840830370453184,133417.0,131293.40655347524,1,125454.28042540167,125454.28042540167,256747.6869788769,0.0,2.0601564107890358
421,47.206,5857.893900842203,276527.73948315706,2536,0,4090,0,1.080217436623266,137507.0,148537.45905775545,1,127990.28042540167,127990.28042540167,276527.7394831571,0.0,2.1487800117562617
422,45.718,6046.1307516365805,276417.0057033212,0,5583,13954,0,1.0168276010188733,151461.0,154009.72527791956,1,122407.28042540167,122407.28042540167,276417.0057033212,0.0,2.0924338353551457
